"","Chromosome","Start","End","Strand","mean.mean.g1","mean.mean.g2","mean.mean.diff.x","mean.mean.quot.log2.x","comb.p.val.x","comb.p.adj.fdr.x","num.sites.x","combinedRank.x","mean.mean.F","mean.mean.M","mean.mean.diff.y","mean.mean.quot.log2.y","comb.p.val.y","comb.p.adj.fdr.y","num.sites.y","combinedRank.y"
"11","chr3",174095034,174095795,"+",0.470305940441176,0.667915272794118,-0.197609332352941,-0.695240796514403,0.0962454941730851,0.56433989627138,68,1940,0.480537333333333,0.573375979166667,-0.0928386458333333,-0.269578803659202,0.426105854739529,0.650378701654427,8,16289
"12","chrX",135383122,135519215,"+",0.436554481617647,0.665661203186275,-0.229106721568627,-0.611949797624835,0.0877022385994847,0.56433989627138,204,2041,0.416666333333333,0.7846155,-0.367949166666667,-0.897148658042101,0.0162093596318466,0.650378701654427,1,651
"13","chrX",37865835,37988072,"+",0.512733764341085,0.764233887596899,-0.251500123255814,-0.593165019340323,0.086492554232164,0.56433989627138,129,2149,0.727777666666667,1,-0.272222333333333,-0.453097270120548,0.000118467582197271,0.0689713112788069,1,2416
"14","chr1",200842083,200843306,"+",0.407210153915663,0.536982728915663,-0.129772575,-0.698314243388594,0.0797379439358207,0.56433989627138,166,2184,NA,NA,NA,NA,NA,NA,NA,NA
"15","chrX",38660685,38665790,"+",0.160751644871795,0.0316653158119658,0.129086329059829,2.99712011912355,0.00289842227260904,0.56433989627138,117,2210,0.516132444444444,0.695677555555556,-0.179545111111111,-0.425162549372371,0.0253130408841862,0.650378701654427,3,2662
"16","chrX",68399400,68429767,"+",0.49922900212766,0.750832069680851,-0.251603067553192,-0.582817928198888,0.059155233903936,0.56433989627138,94,2230,NA,NA,NA,NA,NA,NA,NA,NA
"17","chr2",96808905,96811179,"-",0.280321435472973,0.408201971283784,-0.127880535810811,-1.7124026363953,0.0749750095526414,0.56433989627138,148,2250,0.768332166666667,0.800986416666667,-0.03265425,-0.067608411039985,0.450265484017064,0.650378701654427,4,17856
"18","chrX",50838690,50914232,"-",0.43786035412844,0.629110546330275,-0.191250192201835,-0.604665388309824,0.111968001767743,0.56433989627138,109,2303,0.4270135,0.493984,-0.0669705,-0.191591035217236,0.597057389887078,0.671388728525606,2,23816
"19","chrX",56258854,56314322,"+",0.49687851484375,0.736830475,-0.23995196015625,-0.566905929701919,0.064479311797012,0.56433989627138,64,2344,0.471522836363636,0.529561701515151,-0.0580388651515152,-0.138634256596014,0.154922837370731,0.650378701654427,11,10563
"20","chr17",51900239,51902573,"+",0.362524274736842,0.54270992631579,-0.180185651578947,-0.645439489455195,0.115013375894047,0.56433989627138,95,2384,0.530785619444444,0.538379915277778,-0.00759429583333334,0.0332643456856383,0.289847686116001,0.650378701654427,24,20915
"21","chrX",10210379,10333363,"+",0.443427699715909,0.646283707102273,-0.202856007386364,-0.560621417502748,0.102132378658645,0.56433989627138,176,2389,NA,NA,NA,NA,NA,NA,NA,NA
"22","chrX",54959394,55024967,"-",0.5397768768,0.776814636,-0.2370377592,-0.560235029785793,0.0646046403323825,0.56433989627138,125,2394,0.452137033333333,0.7469317,-0.294794666666667,-0.75310550658906,0.0104125050182891,0.650378701654427,10,927
"23","chr1",44568978,44570375,"-",0.266857581333333,0.401530774666667,-0.134673193333333,-1.46296505317896,0.115782736820482,0.56433989627138,75,2402,NA,NA,NA,NA,NA,NA,NA,NA
"24","chrX",14547420,14749934,"+",0.511345565767635,0.739788470954357,-0.228442905186722,-0.559670407863707,0.0789875158600062,0.56433989627138,241,2402,0.233958733333333,0.341543625,-0.107584891666667,1.18899347440746,0.00641679879430413,0.650378701654427,4,1308
"25","chrX",122318006,122624766,"+",0.511200662364425,0.745802014533623,-0.234601352169197,-0.558029896276059,0.0795848581500423,0.56433989627138,461,2409,0.449800587654321,0.476955524691358,-0.027154937037037,-0.0114858570989934,0.151445527783173,0.650378701654427,27,24605
"26","chrX",106143394,106174091,"+",0.549788022435897,0.794942448717949,-0.245154426282051,-0.555540034645858,0.0623576200722279,0.56433989627138,78,2427,0.5870988,0.830002233333333,-0.242903433333333,-0.53591892288708,0.00191239758466672,0.400124372773121,5,1755
"27","chr11",71314306,71319086,"+",0.176850277443609,0.300159993609023,-0.123309716165414,-1.6946498445653,0.101614675351132,0.56433989627138,133,2436,NA,NA,NA,NA,NA,NA,NA,NA
"28","chrX",105412298,105452949,"+",0.495232541538462,0.700047718461538,-0.204815176923077,-0.548285885853047,0.106335358765091,0.56433989627138,65,2491,0.604907083333333,0.848443083333333,-0.243536,-0.490773902328579,0.0445583202942255,0.650378701654427,4,2064
"29","chrX",148769894,148798926,"+",0.534514620895522,0.756812141791045,-0.222297520895522,-0.544688194220445,0.0880540751926746,0.56433989627138,67,2515,0.552001333333333,0.772436,-0.220434666666667,-0.458514298646125,0.0600510107753909,0.650378701654427,2,2352
"30","chrX",39085356,39159040,"-",0.4679517825,0.66052951,-0.1925777275,-0.541689288113101,0.0825306387030541,0.56433989627138,100,2528,NA,NA,NA,NA,NA,NA,NA,NA
"31","chrX",133594183,133654543,"+",0.423710758860759,0.544539198734177,-0.120828439873418,0.610772279095101,0.0145052983270677,0.56433989627138,79,2529,NA,NA,NA,NA,NA,NA,NA,NA
"32","chrX",100474758,100519486,"+",0.525921998148148,0.737330698148148,-0.2114087,-0.534053226925224,0.0727780739212699,0.56433989627138,81,2588,0.400588333333333,0.8,-0.399411666666667,-0.980229273442296,0.178323328299024,0.650378701654427,1,2774
"33","chrX",37003596,37004166,"-",0.125822368,0.00679881466666667,0.119023553333333,3.10097584816387,0.00156890217427999,0.56433989627138,75,2605,NA,NA,NA,NA,NA,NA,NA,NA
"34","chr12",53692449,53694098,"-",0.0383387651685393,0.156508094382022,-0.118169329213483,-3.09450612772262,0.00507291230728599,0.56433989627138,89,2644,0.128504793548387,0.0180146865591398,0.110490106989247,2.82511272233604,0.390052675146437,0.650378701654427,31,13839
"35","chrX",38211798,38280703,"+",0.457321331578947,0.649062294078947,-0.1917409625,-0.532966961617226,0.127175394977802,0.56433989627138,76,2696,0.505072583333333,0.872046458333333,-0.366973875,-0.782955357346089,0.0260601926993233,0.650378701654427,4,863
"36","chrX",18257434,18372847,"-",0.492396820982143,0.622723202678571,-0.130326381696429,0.522447430150461,0.02516027723782,0.56433989627138,112,2698,0.2587785,0.061188775,0.197589725,2.88298773785512,8.75282331730525e-05,0.053274854831989,2,266
"37","chr2",132587374,132589604,"-",0.209907254032258,0.3873694,-0.177462145967742,-0.967806424241631,0.127296474360035,0.56433989627138,124,2701,NA,NA,NA,NA,NA,NA,NA,NA
"38","chrX",130115564,130192120,"-",0.401635849101796,0.598570149401198,-0.196934300299401,-0.592198821756779,0.127775468965385,0.56433989627138,167,2715,0.4376365,0.86931825,-0.43168175,-0.978143069038625,0.0139307530459336,0.650378701654427,2,556
"39","chrX",117480036,117583924,"+",0.400629542792793,0.516775982882883,-0.11614644009009,0.690109862685829,0.0233532989352344,0.56433989627138,111,2739,0.395664666666667,0.498484933333333,-0.102820266666667,0.28249902243526,0.203345352938615,0.650378701654427,2,5028
"40","chrX",151307355,151355329,"+",0.525007633116883,0.733086679220779,-0.208079046103896,-0.516732783843791,0.0910260654431783,0.56433989627138,77,2753,0.542498055555556,0.666153422222222,-0.123655366666667,-0.139228626752855,0.00494778140511591,0.650378701654427,6,10528
"41","chr21",15134659,15136653,"+",0.463472220068027,0.633425771088435,-0.169953551020408,-0.517534622191123,0.129476520316351,0.56433989627138,147,2756,NA,NA,NA,NA,NA,NA,NA,NA
"42","chrX",10988011,11129234,"-",0.536279456343284,0.75408633880597,-0.217806882462687,-0.514734125258885,0.0565687774103829,0.56433989627138,134,2766,0.157874375,0.261160716666667,-0.103286341666667,0.801476012234678,0.0044773665620486,0.644668569345289,4,1413
"43","chrX",128872950,128903514,"+",0.486336645108696,0.710463161956522,-0.224126516847826,-0.51207639317372,0.0948300426000175,0.56433989627138,92,2784,NA,NA,NA,NA,NA,NA,NA,NA
"44","chrX",54775332,54824673,"-",0.517663639545455,0.722932015,-0.205268375454545,-0.510330437909915,0.0761949909735987,0.56433989627138,110,2798,0.554920857142857,0.865038785714286,-0.310117928571429,-0.650116565422618,0.00921529553700787,0.650378701654427,7,1248
"45","chr12",131851205,131855604,"+",0.394915980681818,0.585181026136364,-0.190265045454545,-0.608144329588439,0.131873852501267,0.56433989627138,88,2828,NA,NA,NA,NA,NA,NA,NA,NA
"46","chr2",133110240,133112412,"+",0.0297167216535433,0.144001823228346,-0.114285101574803,-1.92793453361686,0.0502536804698525,0.56433989627138,127,2856,NA,NA,NA,NA,NA,NA,NA,NA
"47","chr8",144788864,144790279,"-",0.183975055791506,0.369976883976834,-0.186001828185328,-1.11691043501111,0.134251406118796,0.56433989627138,259,2880,NA,NA,NA,NA,NA,NA,NA,NA
"48","chr16",31579707,31580796,"-",0.177944184042553,0.296202837234043,-0.118258653191489,-0.994628017388976,0.134982086237405,0.56433989627138,94,2898,0.29129355,0.312739837254902,-0.021446287254902,-0.181593074791382,0.338403562418934,0.650378701654427,34,10850
"49","chrX",111873876,111923375,"-",0.542676935465116,0.760575255813953,-0.217898320348837,-0.497001480738601,0.112739579990606,0.56433989627138,86,2925,0.464522333333333,0.856174166666667,-0.391651833333333,-0.871786790078051,0.000769298598892837,0.226402041504935,2,690
"50","chrX",46306292,46356857,"+",0.521174190123457,0.633688114814815,-0.112513924691358,0.526129921836986,0.0539046252863224,0.56433989627138,81,2952,0.219091176666667,0.167951664444444,0.0511395122222222,1.31043661497881,0.0256507499659701,0.650378701654427,15,4438
"51","chrX",23720370,23784592,"-",0.454697992924528,0.567360602358491,-0.112662609433962,0.491671674737491,0.0412680167310243,0.56433989627138,106,2973,0.8293155,0.949205166666667,-0.119889666666667,-0.19447395265733,0.0622229597537046,0.650378701654427,2,7829
"52","chrX",130836678,130964671,"-",0.456876944897959,0.62105777159864,-0.16418082670068,-0.660542301988682,0.137939964767262,0.56433989627138,294,2974,0.603141083333333,0.980555583333333,-0.3774145,-0.69306706476043,0.000300896906608107,0.118504706703996,4,1098
"53","chr12",131832015,131852100,"+",0.411371341328413,0.562927131918819,-0.151555790590406,-0.54721924242874,0.138266168781732,0.56433989627138,271,2984,0.318412949122807,0.336492573684211,-0.0180796245614035,-0.0783762355616334,0.47816772701463,0.650378701654427,19,19483
"54","chrX",99899215,99926296,"+",0.467057779285714,0.653913715714286,-0.186855936428571,-0.488162561974806,0.0932879137283431,0.56433989627138,70,3012,NA,NA,NA,NA,NA,NA,NA,NA
"55","chrX",24483338,24557954,"+",0.451352060087719,0.589044315789474,-0.137692255701754,0.487760582125676,0.0231573980469543,0.56433989627138,114,3016,0.451056272727273,0.46639446969697,-0.015338196969697,1.04063910604892,0.0242373742097284,0.650378701654427,11,13646
"56","chrX",151334706,151620337,"-",0.49256679421365,0.69667072537092,-0.20410393115727,-0.485790823320898,0.0981814307816627,0.56433989627138,337,3032,0.437243283333333,0.573514896296296,-0.136271612962963,-0.449741907079375,0.0324757922226462,0.650378701654427,18,2452
"57","chrX",134654584,134716435,"+",0.393979074568966,0.50340401637931,-0.109424941810345,0.92210892746842,0.011901714471452,0.56433989627138,116,3119,0.42823260952381,0.458706507142857,-0.0304738976190476,1.24998512574644,0.0125739317564213,0.650378701654427,7,8090
"58","chrX",22050559,22269427,"+",0.517467457272727,0.719404115636364,-0.201936658363636,-0.476991296140752,0.112949882660318,0.56433989627138,275,3147,0.446485666666667,0.5615905,-0.115104833333333,-0.313103216587191,0.210157634900371,0.650378701654427,2,4378
"59","chr8",144656955,144660819,"-",0.462039245882353,0.570186264411765,-0.108147018529412,-1.18307161192984,0.0925208782621742,0.56433989627138,170,3188,0.8841635,0.932002083333333,-0.0478385833333334,-0.0747780823141167,0.406649939512683,0.650378701654427,4,15657
"60","chrX",20168029,20285523,"-",0.40188148027027,0.510174928378378,-0.108293448108108,0.473340132203545,0.0472328822384353,0.56433989627138,185,3189,0.190764288888889,0.184871322222222,0.00589296666666667,1.17246848946618,0.078609652735174,0.650378701654427,12,20366
"61","chrX",119392505,119445411,"-",0.387547482170543,0.495426404651163,-0.10787892248062,0.552415588540782,0.0362849143098806,0.56433989627138,129,3202,0.462935486666667,0.557246366666667,-0.09431088,-0.189692380813773,0.235438450930901,0.650378701654427,5,8007
"62","chrX",135614311,135638966,"+",0.389553621969697,0.50822635530303,-0.118672733333333,-0.471636497915935,0.128469569803197,0.56433989627138,66,3207,0.497724083333333,0.489529566666667,0.00819451666666668,0.110886119942081,0.0975769582292529,0.650378701654427,10,18361
"63","chrX",17546558,17605281,"+",0.555670020860927,0.749813168874172,-0.194143148013245,-0.468006933585594,0.133751257070143,0.56433989627138,151,3253,0.574828888888889,0.768983333333333,-0.194154444444444,-0.436934297076424,0.0465384268233865,0.650378701654427,3,2542
"64","chr1",5647428,5728355,"-",0.483751999633252,0.640672983007335,-0.156920983374083,-0.466336849416631,0.137837646213327,0.56433989627138,818,3269,0.666365333333333,0.61027577,0.0560895633333333,0.163273756482764,0.570341373602513,0.661139779528585,10,23103
"65","chrX",21673609,21676448,"-",0.493807246335079,0.669552778272251,-0.175745531937173,-0.46491974222212,0.144712143040726,0.56433989627138,191,3282,0.542361929824561,0.718951131578947,-0.176589201754386,-0.423175889862233,0.11479922090301,0.650378701654427,19,2690
"66","chr17",37313147,37323737,"-",0.444872638768116,0.571292627898551,-0.126419989130435,-0.848084810946138,0.14931701174426,0.56433989627138,138,3291,0.495332006818182,0.553044921212121,-0.0577129143939394,-0.340805235614863,0.427434388943109,0.650378701654427,22,16378
"67","chrX",103810996,105012102,"+",0.471939203527482,0.657093583921247,-0.185154380393765,-0.462840677297177,0.115143710333687,0.56433989627138,1219,3302,0.45293938245614,0.521837842105263,-0.0688984596491228,-0.209705541417689,0.363939170440265,0.650378701654427,19,11897
"68","chrX",96686257,96897588,"-",0.578997396651786,0.783542685267857,-0.204545288616071,-0.461509441547661,0.103422978314403,0.56433989627138,224,3317,NA,NA,NA,NA,NA,NA,NA,NA
"69","chrX",109602044,109699562,"+",0.407655002708333,0.586665058541667,-0.179010055833333,-0.455764399379362,0.11399638224573,0.56433989627138,240,3388,0.3531581,0.421087298958333,-0.0679291989583333,0.125794693983628,0.127397447219974,0.650378701654427,16,11392
"70","chrX",107975712,107979651,"-",0.1346349034375,0.030116109375,0.1045187940625,2.73627332114576,0.00244019552696746,0.56433989627138,160,3396,0.205923861979167,0.09995513046875,0.105968731510417,1.7075118351766,0.0430234836193173,0.650378701654427,64,1348
"71","chr1",143119061,143233417,"+",0.621751369928826,0.441478293060498,0.180273076868327,0.544337911412779,0.152529532698197,0.56433989627138,281,3403,NA,NA,NA,NA,NA,NA,NA,NA
"72","chr16",2848486,2855148,"+",0.239334405603448,0.377126415517241,-0.137792009913793,-0.837559395277161,0.153464936868486,0.56433989627138,116,3431,0.863851222222222,0.766113777777778,0.0977374444444445,0.181375789643545,0.165427218897332,0.650378701654427,3,8362
"73","chr20",23012179,23019873,"+",0.410370837,0.5252580965,-0.1148872595,-0.696586324471206,0.15372425359776,0.56433989627138,300,3439,0.67090480787037,0.744115386574074,-0.0732105787037037,-0.176256251775094,0.241950390193256,0.650378701654427,72,8563
"74","chrX",149106846,149392815,"+",0.500129478207739,0.710220848778004,-0.210091370570265,-0.447051802439659,0.0736770774142552,0.56433989627138,491,3483,0.678578818333333,0.797769558333333,-0.11919074,-0.0467783391240001,0.113293978226647,0.650378701654427,20,18982
"75","chr2",202899310,202903160,"+",0.211803625670498,0.314531022605364,-0.102727396934866,-0.881348934668512,0.151446458893209,0.56433989627138,261,3497,0.480854629931973,0.453339573129252,0.0275150568027211,0.12472235044084,0.347924287049631,0.650378701654427,49,11466
"76","chr1",143154493,143169717,"+",0.598716096511628,0.412977086627907,0.185739009883721,0.578314940434468,0.155423394654317,0.56433989627138,86,3500,NA,NA,NA,NA,NA,NA,NA,NA
"77","chrX",132158659,132231137,"-",0.550322569662921,0.746604825842697,-0.196282256179775,-0.445980089319564,0.0771022182979801,0.56433989627138,89,3502,0.610712333333333,0.811363666666667,-0.200651333333333,-0.451540749990471,0.14846096410543,0.650378701654427,2,2433
"78","chrX",118490264,118527558,"-",0.5579036953125,0.75485310390625,-0.19694940859375,-0.445606949066017,0.108001647846096,0.56433989627138,64,3508,NA,NA,NA,NA,NA,NA,NA,NA
"79","chrX",49061523,49089833,"-",0.347768954301075,0.486862820967742,-0.139093866666667,-0.44461718900588,0.126953500104811,0.56433989627138,93,3517,0.360151339130435,0.333936772463768,0.0262145666666667,0.282526835368144,0.189389991595713,0.650378701654427,23,9292
"80","chrX",134229058,134232664,"-",0.2745299453125,0.17227818984375,0.10225175546875,2.80717070949988,0.00184361169154158,0.56433989627138,64,3525,NA,NA,NA,NA,NA,NA,NA,NA
"81","chrX",117629861,117820126,"+",0.457608947520661,0.587724388429752,-0.130115440909091,0.443679817927501,0.0318308371745537,0.56433989627138,242,3532,0.654010450980392,0.811414382352941,-0.157403931372549,-0.357791655709636,0.00920018487033438,0.650378701654427,17,3510
"82","chrX",22716574,22787083,"+",0.535528106111111,0.703879233333333,-0.168351127222222,-0.443189589319559,0.123836569406746,0.56433989627138,90,3538,NA,NA,NA,NA,NA,NA,NA,NA
"83","chr6",137813336,137815531,"-",0.15449136745283,0.256315374528302,-0.101824007075472,-0.706918658195893,0.14865441429443,0.56433989627138,106,3545,0.332881052083333,0.303549011111111,0.0293320409722222,0.137022898241608,0.276329630539326,0.650378701654427,48,10664
"84","chrX",17988317,18122764,"-",0.478515052416357,0.68354088866171,-0.205025836245353,-0.439549903350773,0.0827611122152454,0.56433989627138,269,3588,NA,NA,NA,NA,NA,NA,NA,NA
"85","chr7",64601603,64694600,"+",0.504834810267857,0.689475653571429,-0.184640843303571,-0.61812714050744,0.159216385626241,0.56433989627138,112,3624,NA,NA,NA,NA,NA,NA,NA,NA
"86","chr4",19457059,19911315,"+",0.4584246188956,0.621903578688525,-0.163478959792925,-0.461711891231943,0.159751427423416,0.56433989627138,1159,3649,0.459838068627451,0.505934568627451,-0.0460965,-0.2000429131669,0.205526169918619,0.650378701654427,17,7583
"87","chr1",143118704,143211070,"-",0.621730742518248,0.447041896532847,0.174688845985401,0.506835175385402,0.160478318178925,0.56433989627138,274,3671,NA,NA,NA,NA,NA,NA,NA,NA
"88","chrX",18694029,18846039,"+",0.591781240106952,0.77896459973262,-0.187183359625668,-0.428113723464904,0.12925432663689,0.56433989627138,187,3733,0.690496378787879,0.865366363636364,-0.174869984848485,-0.340603248965738,0.0110256832219487,0.650378701654427,22,3812
"89","chrX",131157293,131209971,"+",0.30543565483871,0.404134621774194,-0.0986989669354839,1.12242563158547,0.00489613113374771,0.56433989627138,62,3738,NA,NA,NA,NA,NA,NA,NA,NA
"90","chr15",30336658,30337499,"+",0.295920677272727,0.394088968181818,-0.0981682909090909,-0.445659118257147,0.154783013282888,0.56433989627138,66,3770,0.512356563636364,0.559775242424242,-0.0474186787878788,-0.208931289961908,0.45236471315289,0.650378701654427,11,18004
"91","chr2",63271057,63275775,"-",0.483200084876543,0.623855466358025,-0.140655381481481,-0.584641707852149,0.163971575039388,0.56433989627138,162,3807,0.681181357923497,0.658880259562842,0.0223010983606557,0.0620523358817738,0.289687898897056,0.650378701654427,61,17101
"92","chrX",77166194,77305892,"+",0.5766610285,0.7758820365,-0.199221008,-0.422489991370568,0.0907295611085115,0.56433989627138,100,3815,0.616911555555556,0.842199111111111,-0.225287555555556,-0.490540489560276,0.188345468617786,0.650378701654427,3,3017
"93","chrX",56755692,56844813,"+",0.512559081985294,0.683602812867647,-0.171043730882353,-0.421825586820523,0.122534984109501,0.56433989627138,136,3827,0.399338888888889,0.6311965,-0.231857611111111,-0.465249274821401,0.145883928917132,0.650378701654427,3,2290
"94","chrX",100673275,100788446,"+",0.524499073684211,0.672096283834586,-0.147597210150376,-0.420153623062919,0.122997240243571,0.56433989627138,133,3846,NA,NA,NA,NA,NA,NA,NA,NA
"95","chr4",174446120,174451380,"-",0.219228107224335,0.316053759885932,-0.096825652661597,-0.784545323170876,0.149486755251253,0.56433989627138,263,3851,0.424622634057971,0.432131879891304,-0.00750924583333333,0.0731244155788677,0.358228094246586,0.650378701654427,92,18937
"96","chr14",77731826,77737655,"-",0.288486386,0.385209134333333,-0.0967227483333333,-1.06662466891563,0.140938846999584,0.56433989627138,150,3857,0.622159,0.767179666666667,-0.145020666666667,-0.29796068696174,0.120687490357729,0.650378701654427,1,4687
"97","chrX",15363713,15402498,"-",0.500146565671642,0.667869055223881,-0.167722489552239,-0.419194218525698,0.16197597047798,0.56433989627138,67,3857,0.639425333333333,0.9,-0.260574666666667,-0.499940463866436,0.163719575005383,0.650378701654427,2,2434
"98","chr21",15281895,15352758,"-",0.683148768367347,0.780133645663265,-0.0969848772959184,-0.475250493682326,0.165629823737017,0.56433989627138,196,3861,NA,NA,NA,NA,NA,NA,NA,NA
"99","chrX",135295381,135338641,"-",0.404902334615385,0.501457291208791,-0.0965549565934066,0.700842545489958,0.0191909322869621,0.56433989627138,91,3867,0.670699326315789,0.85946899122807,-0.188769664912281,-0.354089601522847,0.00184700452113453,0.392576413337332,19,3567
"100","chrX",54834032,54842445,"+",0.411869712307692,0.508276479230769,-0.0964067669230769,0.763981583665156,0.0276571885080697,0.56433989627138,65,3875,0.639387159259259,0.807171796296296,-0.167784637037037,0.0657760211141082,0.0270332726122148,0.650378701654427,18,16666
